GAME_ID,GAME_DATE_EST,HOME_TEAM_ID,VISITOR_TEAM_ID,PTS_home,PTS_away,AST_home,AST_away,REB_home,REB_away,FG_PCT_home,FG_PCT_away,FG3_PCT_home,FG3_PCT_away,FT_PCT_home,FT_PCT_away,IS_HOME,GSW_WIN,GSW_AST,GSW_REB,GSW_FG_PCT,GSW_FG3_PCT,GSW_FT_PCT
22100994,2022-03-10,1610612743,1610612744,102.0,113.0,19.0,26.0,49.0,36.0,0.417,0.477,0.226,0.333,0.781,0.75,False,True,26.0,36.0,0.477,0.333,0.75
22100980,2022-03-08,1610612744,1610612746,112.0,97.0,33.0,23.0,51.0,47.0,0.478,0.355,0.382,0.308,0.846,0.826,True,True,33.0,51.0,0.478,0.382,0.846
22100528,2022-03-07,1610612743,1610612744,131.0,124.0,39.0,29.0,41.0,41.0,0.548,0.511,0.313,0.425,0.707,0.739,False,False,29.0,41.0,0.511,0.425,0.739
22100959,2022-03-05,1610612747,1610612744,124.0,116.0,25.0,22.0,47.0,41.0,0.494,0.5,0.439,0.441,0.857,0.474,False,False,22.0,41.0,0.5,0.441,0.474
22100943,2022-03-03,1610612742,1610612744,122.0,113.0,29.0,26.0,32.0,37.0,0.529,0.543,0.459,0.5,0.75,0.769,False,False,26.0,37.0,0.543,0.5,0.769
22100930,2022-03-01,1610612750,1610612744,129.0,114.0,27.0,26.0,42.0,40.0,0.528,0.456,0.4,0.289,0.826,0.864,False,False,26.0,40.0,0.456,0.289,0.864
22100917,2022-02-27,1610612744,1610612742,101.0,107.0,27.0,16.0,44.0,45.0,0.429,0.5,0.282,0.382,0.6,0.8,True,False,27.0,44.0,0.429,0.282,0.6
22100894,2022-02-24,1610612757,1610612744,95.0,132.0,16.0,36.0,31.0,46.0,0.392,0.511,0.257,0.366,0.828,0.844,False,True,36.0,46.0,0.511,0.366,0.844
22100883,2022-02-16,1610612744,1610612743,116.0,117.0,26.0,27.0,37.0,48.0,0.517,0.473,0.294,0.389,0.667,0.81,True,False,26.0,37.0,0.517,0.294,0.667
22100866,2022-02-14,1610612746,1610612744,119.0,104.0,25.0,23.0,43.0,38.0,0.565,0.453,0.441,0.39,0.533,0.769,False,False,23.0,38.0,0.453,0.39,0.769
22100854,2022-02-12,1610612744,1610612747,117.0,115.0,24.0,25.0,50.0,48.0,0.444,0.466,0.316,0.407,0.735,0.667,True,True,24.0,50.0,0.444,0.316,0.735
22100837,2022-02-10,1610612744,1610612752,114.0,116.0,27.0,24.0,38.0,51.0,0.462,0.433,0.333,0.389,0.882,0.727,True,False,27.0,38.0,0.462,0.333,0.882
22100828,2022-02-09,1610612762,1610612744,111.0,85.0,26.0,17.0,52.0,35.0,0.461,0.359,0.333,0.372,0.706,0.765,False,False,17.0,35.0,0.359,0.372,0.765
22100813,2022-02-07,1610612760,1610612744,98.0,110.0,21.0,30.0,50.0,40.0,0.411,0.5,0.306,0.349,0.765,0.765,False,True,30.0,40.0,0.5,0.349,0.765
22100785,2022-02-03,1610612744,1610612758,126.0,114.0,27.0,29.0,40.0,25.0,0.56,0.525,0.476,0.355,0.75,0.826,True,True,27.0,40.0,0.56,0.476,0.75
22100771,2022-02-01,1610612759,1610612744,120.0,124.0,33.0,30.0,34.0,46.0,0.554,0.448,0.485,0.435,0.706,1.0,False,True,30.0,46.0,0.448,0.435,1.0
22100764,2022-01-31,1610612745,1610612744,108.0,122.0,25.0,23.0,37.0,41.0,0.429,0.538,0.372,0.425,0.69,0.826,False,True,23.0,41.0,0.538,0.425,0.826
22100750,2022-01-29,1610612744,1610612751,110.0,106.0,24.0,21.0,55.0,52.0,0.408,0.398,0.311,0.393,0.889,0.81,True,True,24.0,55.0,0.408,0.311,0.889
22100734,2022-01-27,1610612744,1610612750,124.0,115.0,31.0,22.0,47.0,41.0,0.537,0.442,0.583,0.227,0.714,0.778,True,True,31.0,47.0,0.537,0.583,0.714
